,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,仕入れ表,仕入れ元データ,仕入れ表,,ペイメント,仕入れ表,仕入れ表,,,ペイメント,手動,,,売れた日の為替,,,仕入れ元データ,,,,,,手動,
同梱,カスタムラベル(SKU),"eBay Oder No,",仕入れ日,販売日,出金日,商品名,仕入れ金額(送料込み),販売金額,販売金額（￥）,Total fees,広告費(PL),ebay手数料,Payout金額,販売時の為替,出金時の為替（ペイオニア手数料含む）,受取金額,海外送料,手数料消費税還付,消費税還付,最終損益,利益率,売れるまでの日数,送り状番号,備考
,20251125_mizushima_02,25-13888-57021,2025/12/3,2025/12/2,2025/12/10,Canon PowerShot SX620 HS Black 20.2MP 25x Zoom Compact digital camera Tested,"¥24,980 ",$300.00 ,"¥46,704",$38.21,$0.00,$38.21,$261.79,155.68,156.84,"¥41,059","¥10,735 ",¥545,"¥2,271","¥8,160",17.47%,7,886870454280,
,20251030_akai_01,18-13912-30345,2025/12/5,2025/12/4,2025/12/10,Eibach Pro-Kit Lowering Springs for VW Scirocco / Beetle E10-85-021-05-22 Used,"¥7,900 ",$204.00 ,"¥31,681",$31.86,$0.00,$31.86,$172.14,155.3,156.84,"¥26,998","¥17,742 ",¥454,¥718,"¥2,529",7.98%,35,EM1013080455506FE06020026A0N,
,20250925_akai_02,22-13917-94901,2025/12/8,2025/12/7,2025/12/10,Display Fake Food handmade Japanese Food Donburi Made in Japan F/S,"¥22,000 ",$266.00 ,"¥41,267",$44.74,$0.00,$44.74,$221.26,155.14,156.84,"¥34,702","¥9,864 ",¥638,"¥2,000","¥5,476",13.27%,73,886869383901,
,20251112_mogi_25,07-13958-19191,2025/12/12,2025/12/10,2025/12/31,Pokemon Center Limited Dratini & Dragonite Hugging Plush doll TAIKI-BANSEI,"¥10,260 ",$156.00 ,"¥24,467",$30.10,$0.00,$30.10,$125.90,156.84,156.54,"¥19,708","¥2,928 ",¥428,¥933,"¥7,881",32.21%,28,887122781324,
,20240724_fujii_03_4,17-14002-85916,2026/1/6,2025/12/24,2025/12/31,Tamiya 1/48 Aircraft Series No. 121 McDonnell Douglas F-4B Phantom II 61121,"¥5,810 ",$70.37 ,"¥10,992",$9.31,$0.00,$9.31,$61.06,156.2,156.54,"¥9,558","¥5,550 ",¥132,¥528,"-¥1,141",-10.38%,518,EN407758737JP,
,20251209_mizushima_03,02-14028-11638,,2025/12/26,2026/1/21,"【Exc+5】Appareil photo numérique Sony Cyber-shot DSC-T100 blanc 8,1MP 5x...",,$85.37 ,"¥13,361",-$7.54,$0.00,-$7.54,$92.91,156.51,158.25,"¥14,703",キャンセル,-¥108,¥0,#VALUE!,#VALUE!,46017,,
,20250401_fukumura_01,10-14026-94236,2026/1/5,2026/12/29,2025/12/31,GOOD SMILE COMPANY Nendoroid440 Rozen Maiden Suigintou,"¥5,681 ",$46.69 ,"¥7,467",$5.39,$0.00,$5.39,$41.30,159.93,156.54,"¥6,465","¥2,828 ",¥77,¥516,"-¥1,451",-19.43%,637,887720946917,
,20251022_mizushima_07,17-14032-64069,2026/1/6,2026/1/1,2026/1/7,Canon Power Shot G3 4MP CCD Compact Digital Camera,"¥6,200 ",AUD159.62,"¥16,723",$26.44,$0.00,$26.44,$133.18,104.77,105.56,"¥14,058","¥2,554 ",¥254,¥564,"¥6,122",#VALUE!,71,1Z70E26W6792731986,
,20251217_mizushima_02,22-14047-14733,2026/1/7,2026/1/6,2026/1/21,【Exc+5】Sony Cyber-shot DSC-T100 silver 8.1MP 5x Zoom Digital Camera Tested,"¥8,500 ",AU$152.24,#VALUE!,$25.23,$0.00,$25.23,#VALUE!,105.07,106.52,#VALUE!,"¥2,364 ",¥244,¥773,#VALUE!,#VALUE!,20,1Z70E26W6793749377,
,20251222_mogi_14,09-14069-82166,2026/1/8,2026/1/7,2026/1/14,Pokemon Center Gengar We Are TEAM TRICK! 2018 Plush US SELLER,"¥7,200 ",AU$200.21,#VALUE!,$33.08,$0.00,$33.08,#VALUE!,105.56,106.42,#VALUE!,"¥2,364 ",¥320,¥655,#VALUE!,#VALUE!,16,1Z70E26W6796117562,
