,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SKU,Order no.,仕入れ日,仕入れ先,仕入れ金額（送料込）,品目,商品名,付属品,状態,備考,写真,出品日,販売日,販売先,販売金額
20251125_mizushima_02,25-13888-57021,2025/12/3,メルカリショップ,"¥24,980 ",カメラ,Canon PowerShot SX620 HS Black 20.2MP 25x Zoom Compact digital camera Tested,,中古,,Amazon Photos,2025/11/25,2025/12/2,ebay,$300.00
20251030_akai_01,18-13912-30345,2025/12/5,メルカリ,"¥7,900 ",車用品,Eibach Pro-Kit Lowering Springs for VW Scirocco / Beetle E10-85-021-05-22 Used,,中古,,Amazon Photos,2025/10/30,2025/12/4,ebay,$204.00
20250925_akai_02,22-13917-94901,2025/12/8,元祖食品サンプル屋,"¥22,000 ",ホビー,Display Fake Food handmade Japanese Food Donburi Made in Japan F/S,,新品,,Amazon Photos,2025/09/25,2025/12/7,ebay,$266.00
20251112_mogi_25,07-13958-19191,2025/12/12,ラクマ,"¥10,260 ",ホビー,Pokemon Center Limited Dratini & Dragonite Hugging Plush doll TAIKI-BANSEI,,新品,,Amazon Photos,2025/11/12,2025/12/10,ebay,$156.00
20240724_fujii_03_4,17-14002-85916,2026/1/6,楽天市場（エディオン）,"¥5,810 ",プラモデル,Tamiya 1/48 Aircraft Series No. 121 McDonnell Douglas F-4B Phantom II 61121,,新品,,Amazon Photos,2024/07/24,2025/12/24,ebay,$70.37
20251209_mizushima_03,02-14028-11638,,,,,"【Exc+5】Appareil photo numérique Sony Cyber-shot DSC-T100 blanc 8,1MP 5x...",,,,Amazon Photos,,2025/12/26,ebay,$85.37
20250401_fukumura_01,10-14026-94236,2026/1/5,楽天市場（サンデーマウンテン）,"¥5,681 ",ホビー,GOOD SMILE COMPANY Nendoroid440 Rozen Maiden Suigintou,,新品,,Amazon Photos,2025/04/01,2026/12/29,ebay,$46.69
20251022_mizushima_07,17-14032-64069,2026/1/6,楽天市場（エクセラー）,"¥6,200 ",カメラ,Canon Power Shot G3 4MP CCD Compact Digital Camera,,中古,,Amazon Photos,2025/10/22,2026/1/1,ebay,AUD159.62
20251217_mizushima_02,22-14047-14733,2026/1/7,メルカリ,"¥8,500 ",カメラ,【Exc+5】Sony Cyber-shot DSC-T100 silver 8.1MP 5x Zoom Digital Camera Tested,,中古,,Amazon Photos,2025/12/17,2026/1/6,ebay,AU$152.24
20251222_mogi_14,09-14069-82166,2026/1/8,メルカリ,"¥7,200 ",ホビー,Pokemon Center Gengar We Are TEAM TRICK! 2018 Plush US SELLER,,新品,,Amazon Photos,2025/12/22,2026/1/7,ebay,AU$200.21
20250821_akai_03,03-14112-58874,2026/1/16,ラクマ,"¥7,954 ",カメラ,Fujifilm Finepix F440 4.1MP 3.4x Zoom Digital Camera w/Charger From Japan,,中古,,Amazon Photos,2025/08/21,2026/1/15,ebay,$113.40
20251114_kimura_s_01,19-14098-62430,2026/1/19,メルカリ,"¥14,599 ",ホビー,Sylvanian Families Baby Pink Rabbit in Kimono Forest Market Limited Edition,,新品,,Amazon Photos,2025/11/14,2026/1/17,ebay,AUD265.24
20250225_inoue_05,27-14091-08244,2026/1/19,トレファク,"¥5,150 ",ホビー,Nendoroid Doll Spice and Wolf merchant meets the wise wolf Holo Action Figure,,新品,,Amazon Photos,2025/02/25,2026/1/18,ebay,$116.00
20260115_mizushima_02,21-14099-73570,2026/1/19,メルカリ,"¥18,800 ",カメラ,Nikon COOLPIX SQ 3.1MP 3x Zoom Digital Camera Silver TESTED,,中古,,Amazon Photos,2026/01/15,2026/1/18,ebay,$198.00
20251201_kimura_s_01,02-14134-59256,2026/1/20,メルカリショップ,"¥3,000 ",カメラ,[Exc+8] Appareil photo argentique compact Minolta Hi-matic 11 Super Circuit 3,,中古,,Amazon Photos,2026/01/20,2026/1/20,ebay,€53.24
20260114_mizushima_04,25-14125-14402,2026/1/26,メルカリショップ,"¥12,220 ",カメラ,Sony Cyber Shot DSC-T77 Brown Digital Camera 10.1MP 4x Zoom TESTED,,中古,,Amazon Photos,2026/01/14,2026/1/25,ebay,￡70.81
"20260128_mizushima_01
",13-14156-62402,2026/1/29,yahooフリマ/楽天市場（シズカウィル）,"¥35,263 ",カメラ,【Exc+5】Canon PowerShot SX720 HS 20.3MP 40X Digital Camera Red Accessories TESTED,,中古,,Amazon Photos,2026/01/28,2026/1/28,ebay,$370.00
