,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,SKU（カスタムラベル）,"eBay Oder No,",アカウント,販売日,仕入日,国,MAG,販売額,仕入れ（\）,送料,ポイント加算,その他備考（追加料金等）,梱包者,発送サイト,実重g,体積重g,cm,cm,cm,商品名,仕入れ先,初回メール,領収書印刷
1,20251125_mizushima_02,25-13888-57021,signpost,12/2,12/3,アメリカ,,$300.00,"¥24,980","¥10,735",,関税・手数料合算,小栁12/9,elogi,307,728,32.5,28,4,Canon PowerShot SX620 HS Black 20.2MP 25x Zoom Compact digital camera Tested,メルカリショップ,12/2,
2,20251030_akai_01,18-13912-30345,signpost,12/4,12/5,アメリカ,,$204.00,"¥7,900","¥17,742",,,菅原12/8,CPaSS,10400,4930,58,40,17,Eibach Pro-Kit Lowering Springs for VW Scirocco / Beetle E10-85-021-05-22 Used,メルカリ,12/5,
3,20250925_akai_02,22-13917-94901,signpost,12/7,12/8,アメリカ,,$266.00,"¥22,000","¥9,864",,送料関税合算,松本12/9,elogi,952,1470,24.5,20,15,Display Fake Food handmade Japanese Food Donburi Made in Japan F/S,元祖食品サンプル屋,12/8,
4,20251112_mogi_25,07-13958-19191,tokyo.cairn,12/10,12/12,ポルトガル,,$156.00,"¥10,260","¥2,928",,,松本12/16,elogi,484,2223,28.5,20,19.5,Pokemon Center Limited Dratini & Dragonite Hugging Plush doll TAIKI-BANSEI,ラクマ,12/12,
5,20240724_fujii_03_4,17-14002-85916,tokyo.cairn,12/24,1/6,フランス,MAG,$70.37,"¥5,810","¥5,550",541P,,菅原1/12,EMS,1350,2930,54,31,10.5,Tamiya 1/48 Aircraft Series No. 121 McDonnell Douglas F-4B Phantom II 61121,楽天市場（エディオン）,12/25,
6,20251209_mizushima_03,02-14028-11638,signpost,12/26,,,MAG,$85.37,,キャンセル,,,,,,,,,,"【Exc+5】Appareil photo numérique Sony Cyber-shot DSC-T100 blanc 8,1MP 5x...",,12/26,
7,20250401_fukumura_01,10-14026-94236,tokyo.cairn,12/29,1/5,フランス,MAG,$46.69,"¥5,681","¥2,828",718P,,菅原1/7,elogi,427,1672,22,20,19,GOOD SMILE COMPANY Nendoroid440 Rozen Maiden Suigintou,楽天市場（サンデーマウンテン）,1/5,
8,20251022_mizushima_07,17-14032-64069,signpost,1/1,1/6,オーストラリア,MAG,AUD159.62,"¥6,200","¥2,554",,,菅原1/9,elogi,616,1300,26,20,12.5,Canon Power Shot G3 4MP CCD Compact Digital Camera,楽天市場（エクセラー）,1/5,
9,20251217_mizushima_02,22-14047-14733,signpost,1/6,1/7,オーストラリア,MAG,AU$152.24,"¥8,500","¥2,364",,,小栁1/12,elogi,368,605,24,18,7,【Exc+5】Sony Cyber-shot DSC-T100 silver 8.1MP 5x Zoom Digital Camera Tested,メルカリ,1/7,
10,20251222_mogi_14,09-14069-82166,tokyo.cairn,1/7,1/8,オーストラリア,MAG,AU$200.21,"¥7,200","¥2,364",,,菅原1/13,elogi,150,828,23,18,10,Pokemon Center Gengar We Are TEAM TRICK! 2018 Plush US SELLER,メルカリ,1/8,
11,20250821_akai_03,03-14112-58874,signpost,1/15,1/16,アメリカ,,$113.40,"¥7,954","¥8,177",,関税・手数料合算,菅原1/20,elogi,480,840,20,15,14,Fujifilm Finepix F440 4.1MP 3.4x Zoom Digital Camera w/Charger From Japan,ラクマ,1/16,
12,20251114_kimura_s_01,19-14098-62430,tokyo.cairn,1/17,1/19,オーストラリア,MAG,AUD265.24,"¥14,599","¥2,786",,手数料合算,福村1/28,elogi,182,717,32,28,4,Sylvanian Families Baby Pink Rabbit in Kimono Forest Market Limited Edition,メルカリ,1/19,
13,20250225_inoue_05,27-14091-08244,tokyo.cairn,1/18,1/19,カナダ,,$116.00,"¥5,150","¥3,289",,送料返金合算,菅原1/26,elogi,508,1693,31,21,13,Nendoroid Doll Spice and Wolf merchant meets the wise wolf Holo Action Figure,トレファク,1/19,
14,20260115_mizushima_02,21-14099-73570,signpost,1/18,1/19,アメリカ,,$198.00,"¥18,800","¥10,244",,関税・手数料合算,小栁1/22,elogi,315,500,25,20,5,Nikon COOLPIX SQ 3.1MP 3x Zoom Digital Camera Silver TESTED,メルカリ,1/19,
15,20251201_kimura_s_01,02-14134-59256,signpost,1/20,1/20,フランス,MAG,€53.24,"¥3,000","¥2,320",,,小栁1/22,eライト,880,409,24.5,20,5,[Exc+8] Appareil photo argentique compact Minolta Hi-matic 11 Super Circuit 3,メルカリショップ,1/20,
16,20260114_mizushima_04,25-14125-14402,signpost,1/25,1/26,イギリス,MAG,￡70.81,"¥12,220","¥1,420",,,小栁1/30,eライト,366,870,20,18,14.5,Sony Cyber Shot DSC-T77 Brown Digital Camera 10.1MP 4x Zoom TESTED,メルカリショップ,1/26,
17,"20260128_mizushima_01
",13-14156-62402,signpost,1/28,1/29,アメリカ,,$370.00,"¥35,263","¥3,774",41P,ストラップ別購入仕入れ合算,菅原2/6,CPaSS,436,286,16,13,11,【Exc+5】Canon PowerShot SX720 HS 20.3MP 40X Digital Camera Red Accessories TESTED,yahooフリマ/楽天市場（シズカウィル）,1/29,(Y)3/9:
18,20250821_akai_03_2,12-14171-52167,signpost,1/31,2/2,韓国,,$112.00,"¥7,000","¥2,837",,手数料合算,菅原2/6,elogi,772,546,26,21,5,Fujifilm Finepix F440 4.1MP 3.4x Zoom Digital Camera w/Charger From Japan,メルカリ,2/2,
19,20260130_kimura_s_01,10-14211-89972,signpost,2/9,2/9,アメリカ,,$79.00,"¥2,200","¥5,597",,,菅原2/13,CPaSS,335,850,25,17,16,MINOLTA P'S compact film camera (green) TESTED From JAPAN,メルカリショップ,2/9,
20,20260119_inoue_01,19-14210-00531,signpost,2/11,2/12,,,$284.00,"¥19,400",キャンセル,,,,,,,,,,Shimano 21 SOARE XR C2000SSPG Spinning Reel New JP,メルカリ,2/12,
21,20240729_matsumoto_01_2,19-14210-49408,tokyo.cairn,2/11,2/12,,MAG,£240.00,"¥28,999",キャンセル,,,,,,,,,,S.H.MonsterArts Godzilla 2016 4th Form Night Combat Ver Shin Godzilla,メルカリ,2/12,
22,20251205_mizushima_03,01-14277-81947,signpost,2/21,2/23,オーストラリア,MAG,AUD165.22,"¥8,000","¥2,852",,追加送料合算,小栁2/26,elogi,280,83,23,9,2,【Exc+5】Panasonic Lumix DMC-FX8 Digital Compact Camera 5.0MP 3x Opt Zoom Tested,yahoo オークション,2/23,
23,20260219_mizushima_02,22-14256-70667,signpost,2/23,2/24,アメリカ,,$549.58,"¥59,700","¥16,021",,関税・手数料・返金送料合算,菅原3/3,elogi,480,1050,25,21,10,Canon PowerShot G9X Mark II 20.1MP 3x Digital Camera English Accessories TESTED,メルカリショップ,2/23,
24,20260219_mizushima_06,11-14291-58686,signpost,2/27,2/27,アメリカ,,$291.24,"¥29,070","¥7,904",,充電器別購入仕入れ合算,松本3/2,CPaSS,447,367,26,20.5,5.5,N Mint Canon PowerShot SX710 HS 20.3MP 30x English Digital Camera Charger TESTED,メルカリ/メルカリ,2/27,
25,20260226_mizushima_03,10-14295-37075,signpost,2/28,3/3,カナダ,MAG,c$454.69,"¥38,000","¥4,250",3415P,"返送送料 18,948円",小栁3/5,EMS,803,1105,26.5,20,12.5,【N Mint】OLYMPUS Tough TG-6 12MP Waterproof Digital Camera English Charger TESTED,楽天市場（リサイクル王国）,3/2,
