,,,,,,,,,,230967,0,-5.27E+04,0,0,0,0,0,0,1840,-32371,0.00E+00,0,0,,"-₱14,349.00",0,0,-9282,0,-3994,0,120136,,0,0.61,0,,,,-52675,0,0,0,0
Order ID,Order ID,Username (Buyer),Order Creation Date,Buyer Payment Method,Hot Listing,Buyer Payment Method Details_1(if applicable),Payment Details / Installment Plan,Transaction Fee Rate (%)取引手数料率（%）,Payout Completed Date支払い完了日,Original Product Price,Seller Product Promotion,Refund Amount,Rebate Provided by Shopee,Voucher Sponsored by Seller,Cofund Voucher Sponsored by Seller,Coin Cashback Sponsored by Seller,Cofund Coin Cashback Sponsored by Seller,Buyer Paid Shipping Fee,Shipping Fee Rebate From Shopee Shopeeの配送料還元について,3rd Party Logistics - Defined Shipping Fee3PL（サードパーティ・ロジスティクス） - 固定配送料,Reverse Shipping Fee,Return to Seller Shipping Fee,Shipping Fee Support Program Savings,AMS Commission Fee,Commission fee手数料,Logistics+: Overseas Return Service-Fail Delivery Scenario,Logistics+: Overseas Return Service-Return Refund Scenario,Service Feeサービス料,Support Program Fee,Transaction Fee取引手数料,FBS Fee,Total Released Amount (₱)払出済総額（₱補助金や融資などの文脈で、実際に支払われた金額の合計を指します＝N列のペイアウト,Seller Voucher Code,Lost Compensation,Estimated Order Weight,Shipping Fee Promotion by Seller,Shipping Provider,Courier Name,,Cash refund to buyer amount購入者への現金返金額,Pro-rated coin offset for return refund Items,Pro-rated Shopee voucher offset for returned items,Pro-rated Bank Payment Channel Promotion for return refund Items,Pro-rated Shopee Payment Channel Promotion for return refund Items
260516JCS413HF,260516JCS413HF,narchellepundan,2026-05-16,Cash on Delivery,NO,,,2.24%,2026-06-03,512,0,0.00E+00,0,0,0,0.00E+00,0.00E+00,0,50,-156,0.00E+00,0,0,0,-₱48.00,0,0,-55,0,-11,0,292,,0,0,0,Standard International,Standard International,,0,0,0,0,0
260518NAR3TUKD,260518NAR3TUKD,carfreak33,2026-05-18,SPayLater,NO,,3x,2.24%,2026-06-03,6694,0,0.00E+00,0,0,0,0.00E+00,0.00E+00,0,50,-1731,0.00E+00,0,0,0,-₱633.00,0,0,-300,0,-150,0,3930,,0,0.03,0,Standard International,Standard International,,0,0,0,0,0
2605103BVUYW9W,2605103BVUYW9W,jiansquareenix,2026-05-10,Cash on Delivery,NO,,,2.24%,2026-06-03,4545,0,0.00E+00,0,0,0,0,0,0,50,-231,0.00E+00,0,0,0,-₱430.00,0,0,-382,0,-102,0,3450,,0,0,0,Standard International,Standard International,,0,0,0,0,0
260517MJU4X8UE,260517MJU4X8UE,ettadz,2026-05-17,SPayLater,NO,,12x,2.24%,2026-06-03,5792,0,0.00E+00,0,0,0,0.00E+00,0.00E+00,0,100,-1231,0.00E+00,0,0,0,-₱548.00,0,0,-300,0,-130,0,3683,,0,0.02,0,Standard International,Standard International,,0,0,0,0,0
260501885C2FJU,260501885C2FJU,guilliangrailelopez,2026-05-01,Credit / Debit Card,NO,,,2.24%,2026-06-03,5205,0,0.00E+00,0,0,0,0.00E+00,0.00E+00,0,70,-776,0.00E+00,0,0,0,-₱102.00,0,0,-400,0,-117,0,3880,,0,0.01,0,Standard International,Standard International,,0,0,0,0,0
260516HMD79GVC,260516HMD79GVC,jectoys,2026-05-16,Cash on Delivery,NO,,,2.24%,2026-06-03,624,0,0.00E+00,0,0,0,0.00E+00,0.00E+00,0,50,-156,0.00E+00,0,0,0,-₱59.00,0,0,-66,0,-14,0,379,,0,0,0,Standard International,Standard International,,0,0,0,0,0
260515EYKATBDS,260515EYKATBDS,v52zln7w69,2026-05-15,Cash on Delivery,NO,,,2.24%,2026-06-03,513,0,0.00E+00,0,0,0,0.00E+00,0.00E+00,0,50,-156,0.00E+00,0,0,0,-₱49.00,0,0,-55,0,-11,0,292,,0,0,0,Standard International,Standard International,,0,0,0,0,0
260514D587435E,260514D587435E,emms000,2026-05-14,Cash on Delivery,NO,,,2.24%,2026-06-03,24199,0,-2.42E+04,0,0,0,0.00E+00,0.00E+00,0,0,-1826,0,0,0,0,₱0.00,0,0,0,0,0,0,-1826,,0,0.04,0,Standard International,Standard International,,-24199,0,0,0,0
260517N2NNGYXM,260517N2NNGYXM,ramage_stellio,2026-05-17,SPayLater,NO,,3x,2.24%,2026-06-03,4317,0,0.00E+00,0,0,0,0.00E+00,0.00E+00,0,50,-756,0.00E+00,0,0,0,-₱408.00,0,0,-273,0,-97,0,2833,,0,0.01,0,Standard International,Standard International,,0,0,0,0,0
