,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
自動,,,,,手動,自動,手動,手動,手動,手動,手動,自動,shopee,自動
SKU,Order no.,仕入れ日,仕入れ先,仕入れ金額（送料込）,品目,商品名,付属品,状態,備考,写真,出品日,販売日,販売先,販売金額
20260106_koyanagi_03,2601274C4J8NX1,2026/1/27,トレファク,"¥6,550 ",プラモデル,BANDAI Mobile Suit Gundam MG Gundam Exia Recirculation Color Neon Purple 1/100,,新品,,Amazon Photos,2026/01/06,2026/1/27,shopee,SGD72.11
20260105_koyanagi_02,260131G2HFQM0Y,2026/2/2,yahooフリマ,"¥7,500 ",フィギュア,"BANPRESTO Shun Mizushino Sung Jin-Woo ""Solo Leveling"" ESPRESTO -Excite Motions-vol.1 Figure",,新品,,Amazon Photos,2026/01/05,2026/1/31,shopee,SGD63.01
20260223_machida_15,260227T08W5YG2,2026/3/2,Amazon,"¥3,850 ",ぬいぐるみ,MORIPiLO Sanrio Hugging Pillow (Cinnamoroll Sleepy Pillow) M Approximately 45cm,,新品,,Amazon Photos,2026/02/23,2026/2/27,shopee,SGD50.03
20260213_koyanagi_09,2603023JAGBR08,有在庫,,¥0 ,ゲームソフト,Nintendo Gameboy Advance Pokémon Ruby Japanese No Package,,,,Amazon Photos,2026/02/13,2026/3/2,shopee,SGD8.09
20260212_machida_18,2603023JAGBR08,有在庫,,¥0 ,,Nintendo DS software “GAME & WATCH COLLECTION” Japanese No Package,,,,Amazon Photos,2026/02/12,2026/3/2,shopee,SGD8.1
20260116_miyawaki_03,2603034XVYYYSK,2026/3/9,トレファク,"¥6,300 ",フィギュア,Ichiban Kuji JoJo's Bizarre Adventure Stardust Crusaders DIO MASTERLISE Prize C Anime Figure,,新品,,Amazon Photos,2026/01/16,2026/3/3,shopee,"₱3,361.00"
20260302_ishida_02,260304861KD5C7,2026/3/4,Amazon,"¥7,700 ",フィギュア,S.H.Figuarts Funeral of Freiren Freiren (Resale Version) Approximately 140mm PVC & ABS Painted Movable Figure TAMASHII NATIONS,,新品,,Amazon Photos,2026/03/02,2026/3/4,shopee,"₱3,747.00"
20260219_machida_01,260305C5P0E9RJ,2026/3/6,SOUND HOUSE,"¥13,800 ",楽器,training pad 12 inches with stand TS12S,,新品,,Amazon Photos,2026/02/19,2026/3/5,shopee,SDG194.18
20260123_machida_04,260309N6YK6BVR,2026/3/9,Amazon,"¥11,180 ",ラジコン,Tamiya 1/10 Electric RC Car Series No.242 Wild Willy 2 Off-Road 58242,,新品,,Amazon Photos,2026/01/23,2026/3/9,shopee,"₱6,284.00"
20260210_sugahara_02,260309NQEJ1EFC,有在庫,,¥0 ,ゲームソフト,Pokémon: Pearl Version Nintendo DS Video Games Japanese No Package,,中古,,Amazon Photos,2026/02/10,2026/3/9,shopee,SGD8.03
20260303_machida_01,260310RAA76HSC,,,仕入れ無,,"With shrink wrap Pokémon Card Game Scarlet & Violet Expansion Pack ""Pokémon Card 151""",,,,Amazon Photos,2026/03/03,2026/3/10,shopee,"₱6,948.00"
20260312_machida_ph_04,260323T5NFWERM,,,仕入れ無,フィギュア,MG 1/100 Gundam Base Limited Prize RX-78-2 Gundam Ver.3.0 [Gold Coating] Mobile Suit Gundam,,新品,,Amazon Photos,2026/01/19,2026/3/23,shopee,"₱3,064.00"
20260119_miyawaki_07,26031311HKC8EA,2026/3/13,メルカリ,"¥5,888 ",フィギュア,Ichiban Kuji YuYu Hakusho Dark Tournament vol.2 Karasu MASTERLISE Prize B Anime Figure,,新品,,Amazon Photos,2026/03/09,2026/3/13,shopee,"₱3,598.00"
20260309_sugahara_01,2603169VG6MH00,2026/3/16,Amazon,"¥7,186 ",ラジコン,Nendoroid 2793 Von Lycaon Zenless Zone Zero ZZZ Figure Good Smile Arts Shanghai,,新品,,Amazon Photos,2026/01/23,2026/3/16,shopee,"₱3,948.00"
20260123_machida_04,260317BPCP3GP7,2026/3/17,Joshin,"¥10,569 ",フィギュア,Tamiya 1/10 Electric RC Car Series No.242 Wild Willy 2 Off-Road 58242,,新品,,Amazon Photos,2026/01/15,2026/3/17,shopee,"₱6,284.00"
20260115_miyawaki_sg_02,260320KK6VDGTN,2026/3/20,yahooフリマ,"¥4,999 ",プラモデル,Ichiban Kuji Final Fantasy VII (FF7) Rebirth Cloud Strife Prize A Anime Game Figure,,新品,,Amazon Photos,2026/03/06,2026/3/20,shopee,SDG94.70
